Created result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short'
Created statistics result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short/stats'
No statistics will be collected
wult: notice: C-state prewake is enabled, and this usually hides the real latency when using 'tdt' as delayed event device
Using 'tdt' (TSC deadline timer)
Setting min. launch distance to 1 ns
Stopped the 'systemd-timesyncd' NTP service
Start measuring CPU 1, collecting 1000000 datapoints, time limit is 5h
Calculating TSC rate for 10s
TSC rate is 1899.960392 MHz

Datapoints: 114256, max. latency: 257.03 us, rate: 486.51 datapoints/sec
Datapoints: 114736, max. latency: 257.03 us, rate: 486.48 datapoints/sec
Datapoints: 115216, max. latency: 257.61 us, rate: 486.39 datapoints/sec
Datapoints: 115728, max. latency: 264.73 us, rate: 486.41 datapoints/sec
Datapoints: 116240, max. latency: 264.73 us, rate: 486.37 datapoints/sec
Datapoints: 116752, max. latency: 264.73 us, rate: 486.43 datapoints/sec
Datapoints: 117264, max. latency: 264.73 us, rate: 486.43 datapoints/sec
Datapoints: 117776, max. latency: 264.73 us, rate: 486.45 datapoints/sec
Datapoints: 118288, max. latency: 264.73 us, rate: 486.44 datapoints/sec
Datapoints: 118800, max. latency: 264.73 us, rate: 486.49 datapoints/sec
Datapoints: 119312, max. latency: 264.73 us, rate: 486.52 datapoints/sec
Datapoints: 119856, max. latency: 264.73 us, rate: 486.63 datapoints/sec
Datapoints: 120368, max. latency: 264.73 us, rate: 486.69 datapoints/sec
Datapoints: 120850, max. latency: 264.73 us, rate: 486.67 datapoints/sec
Datapoints: 121360, max. latency: 264.73 us, rate: 486.65 datapoints/sec
Datapoints: 121870, max. latency: 264.73 us, rate: 486.66 datapoints/sec
Datapoints: 122382, max. latency: 264.73 us, rate: 486.65 datapoints/sec
Datapoints: 122862, max. latency: 264.73 us, rate: 486.61 datapoints/sec
Datapoints: 123342, max. latency: 264.73 us, rate: 486.56 datapoints/sec
Datapoints: 123854, max. latency: 264.73 us, rate: 486.55 datapoints/sec
Datapoints: 124365, max. latency: 264.73 us, rate: 486.58 datapoints/sec
Datapoints: 124876, max. latency: 264.73 us, rate: 486.64 datapoints/sec
Datapoints: 125356, max. latency: 264.73 us, rate: 486.53 datapoints/sec
Datapoints: 125868, max. latency: 264.73 us, rate: 486.57 datapoints/sec
Datapoints: 126347, max. latency: 264.73 us, rate: 486.51 datapoints/sec
